chr2	177230308	177264727	NFE2L2
chr2	201233463	201286594	CASP8
chr2	224470150	224585363	CUL3
chr3	30606601	30694142	TGFBR2
chr3	179148357	179240093	PIK3CA
chr4	152320544	152382529	FBXW7
chr4	186587794	186723856	FAT1
chr5	68215756	68301821	PIK3R1
chr5	177133773	177300213	NSD1
chr6	29941260	29945884	HLA.A
chr9	21967752	21994392	CDKN2A
chr9	136494433	136546048	NOTCH1
chr10	87863625	87971930	PTEN
chr11	532242	535576	HRAS
chr12	49018978	49060794	KMT2D
chr13	48303751	48481890	RB1
chr14	22971177	22982551	AJUBA
chr14	102777449	102911500	TRAF3
chr17	7668421	7687490	TP53
